tanggal,maskapai,nomor_penerbangan,cabang,area,kategori,uraian_kejadian,akar_masalah,subkategori,status
2025-12-29,SJ,SJ277,BPN,Apron,Ramp,Terjadi benturan antara Ground Support Equipment (GSE) dan fuselage pesawat saat parking.,Equipment Malfunction,FOD Found,CLOSED
2025-12-29,JT,JT573,PKU,Landside,Ramp,Clearance sayap pesawat terlalu dekat dengan garbarata saat proses docking berlangsung. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Procedure Non-Compliance,Wing Clearance,RESOLVED
2026-01-02,IW,IW100,BPN,Terminal 1,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in.,High Volume,Damaged Baggage,CLOSED
2026-01-03,SJ,SJ353,MDC,Airside,Ramp,Ditemukan benda asing (FOD) berupa baut logam di area apron sebelum pushback pesawat SJ353.,External Factor,Wing Clearance,CLOSED
2026-01-03,QG,QG514,SUB,Terminal 3,Equipment,Garbarata tidak dapat bergerak normal saat proses docking akibat kerusakan motor penggerak. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,External Factor,Airbridge Malfunction,RESOLVED
2026-01-04,GA,GA356,UPG,Terminal 2,Equipment,Garbarata tidak dapat bergerak normal saat proses docking akibat kerusakan motor penggerak.,Maintenance Overdue,Pushback Delay,CLOSED
2026-01-07,GA,GA157,PLM,Terminal 1,Ramp,Clearance sayap pesawat terlalu dekat dengan garbarata saat proses docking berlangsung. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Human Error,Unauthorized Access,PENDING
2026-01-07,IN,IN507,BPN,Landside,Equipment,Garbarata tidak dapat bergerak normal saat proses docking akibat kerusakan motor penggerak.,Human Error,Belt Loader Issue,CLOSED
2026-01-08,QG,QG136,PKU,Terminal 3,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Conveyor Belt Malfunction,Lost & Found,PENDING
2026-01-11,ID,ID773,MDC,Terminal 2,Baggage,Penumpang melaporkan koper tidak ditemukan di belt bagasi setelah penerbangan ID773.,High Volume,Excess Baggage,CLOSED
2026-01-12,IN,IN403,PKU,Terminal 1,Documentation,Manifest penumpang tidak lengkap saat diserahkan ke pihak kru sebelum keberangkatan. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Human Error,Incorrect Boarding Pass,CLOSED
